Acquisition Time[ms], ACC_X 0, ACC_Y 0, ACC_Z 0, ACC_X 1, ACC_Y 1, ACC_Z 1, 
0.000,-0.921903,0.042970,-0.357433,0.001709,0.012207,-0.879177,
1.000,-0.921903,0.042482,-0.354503,-0.484390,0.006592,-0.875271,
1.000,-0.921903,0.043947,-0.354747,-0.476333,0.006592,-0.872585,
0.000,-0.921903,0.043947,-0.357677,-0.476333,0.006592,-0.013184,
1.000,-0.906338,0.041993,-0.357677,-0.475600,0.008301,-0.875759,
0.999,-0.921903,0.042970,-0.361583,-0.484390,0.011231,-0.879177,
0.000,-0.921903,0.042970,-0.361583,-0.484390,0.011231,-0.879177,
1.001,-0.921903,0.048097,-0.365490,-0.477309,0.009766,-0.882839,
1.000,-0.921903,0.044923,-0.367199,-0.484390,0.011963,-0.884792,
0.000,-0.921903,0.031251,-0.367199,-0.470717,-0.003662,-0.884792,
1.000,-0.921903,0.039308,-0.361095,-0.484390,0.012452,-0.878933,
1.001,-0.937528,0.038087,-0.360118,-0.484390,0.009278,-0.874538,
0.000,-0.937528,0.038087,-0.360118,-0.484390,0.009278,-0.874538,
1.000,-0.921903,0.043214,-0.357188,-0.484390,0.009033,-0.875759,
1.000,-0.921903,0.048830,-0.354747,-0.473647,0.009278,-0.875271,
0.000,-0.921903,0.048830,-0.354747,-0.484390,0.009278,-0.875271,
0.999,-0.921903,0.046388,-0.360607,-0.484390,0.011475,-0.000244,
1.000,-0.921903,0.043702,-0.360851,-0.483169,0.011231,-0.874294,
0.000,-0.921903,0.043702,-0.360851,-0.483169,0.011231,-0.874294,
1.000,-0.921903,0.043458,-0.359630,-0.479995,0.012696,-0.873806,
1.000,-0.921903,0.041749,-0.361095,-0.477065,0.016846,-0.872097,
0.000,-0.921903,0.042726,-0.360851,-0.477065,0.016846,-0.872097,
1.000,-0.921903,0.042726,-0.360851,-0.476821,0.016358,-0.874782,
1.000,-0.921903,0.045167,-0.362071,-0.479995,0.013916,-0.879177,
0.000,-0.921903,0.043947,-0.359386,-0.484390,0.000000,-0.878933,
1.000,-0.909695,0.043947,-0.359386,-0.479507,0.012207,-0.878933,
